11alive.com,Name.com Inc.,Whois Agent,Domain Protection Services Inc.,US,Yes,24.08,25.01,0.94,0.14,Yes,No,Yes,No,AWSDNS,No,7,No,No,,,0,,0,,Yes,,,,1
16wmpo.com,Domaincircle LLC,Jan Everno,The Management Group II,US,No,3.58,4,0.42,0.56,No,No,Yes,No,DNSNUTS,No,6,No,No,,,0,,0,,Yes,,,,0
21stcenturywire.com,GoDaddy.com LLC,,,GB,No,11.92,12.01,0.09,1.91,Yes,No,Yes,No,NS,No,15,Yes,Yes,Cloudflare Inc ECC CA-3,US,1,No,3,Yes,No,AS13335,US,Cloudflare Inc.,0
247newsmedia.com,Deep Sea Domains LLC,PERFECT PRIVACY LLC,,US,Yes,0.45,1,0.55,0.45,Yes,Yes,Yes,No,DNSNUTS,No,12,No,No,,,0,,0,,Yes,,,,0
24online.news,,,,,No,0,0,0,0,Yes,No,Yes,No,,Yes,8,No,No,,,0,,0,,Yes,,,,0
24wpn.com,DuckBilledDomains.com LLC,PERFECT PRIVACY LLC,,US,Yes,0.7,1,0.3,0.12,Yes,No,Yes,No,ABOVE,No,5,No,No,,,0,,0,,Yes,,,,0
24x365live.com,,,,,,0,0,0,0,Yes,No,Yes,No,,No,10,No,No,,,0,,0,,Yes,,,,0
2theadvocate.com,Network Solutions LLC,CAPITALCITYPRESS,CAPITALCITYPRESS,US,No,20.35,21.01,0.67,0.5,No,No,Yes,No,THEADVOCATE,No,12,Yes,Yes,ZeroSSL ECC Domain Secure Site CA,AT,0.25,No,3,No,No,AS10668,US,Lee Enterprises Inc.,1
70news.wordpress.com,MarkMonitor Inc.,,Automattic Inc.,US,No,21.6,22.01,0.42,1.67,Yes,Yes,Yes,No,WORDPRESS,No,16,Yes,Yes,Sectigo RSA Domain Validation Secure Server CA,GB,2.26,No,2,Yes,No,AS2635,US,Automattic Inc,0
7newspolitical.site,,,,,No,0,0,0,0,Yes,Yes,Yes,No,,Yes,14,No,No,,,0,,0,,Yes,,,,0
9news.com,Name.com Inc.,Whois Agent,Domain Protection Services Inc.,US,Yes,25.86,26.02,0.15,0.68,No,Yes,Yes,No,AWSDNS,No,5,No,No,,,0,,0,,Yes,,,,1
9wsyr.com,CSC CORPORATE DOMAINS INC.,Domain Administrator,Nexstar Media Group,US,Yes,16.69,18.01,1.32,0.24,No,No,Yes,No,CSCDNS,No,5,No,No,,,0,,0,,Yes,,,,1
9wusa.com,Name.com Inc.,Whois Agent,Domain Protection Services Inc.,US,Yes,21.03,22.01,0.98,0.08,Yes,No,Yes,No,AWSDNS,No,5,No,No,,,0,,0,,Yes,,,,1
abc13.com,CSC CORPORATE DOMAINS INC.,KTRK Television Inc.; Domain Administrator,KTRK Television Inc.,US,Yes,21.67,22.02,0.34,0.78,Yes,No,Yes,No,AWSDNS,No,5,Yes,Yes,Amazon,US,1.08,No,8,No,No,AS16509,US,Amazon.com Inc.,1
abc3340.com,GoDaddy.com LLC,,Sinclair Broadcast Group Inc.,US,No,25.13,26.01,0.88,0.12,Yes,No,Yes,No,AWSDNS,No,7,Yes,Yes,Amazon,US,1.08,No,2,No,No,AS16509,US,Amazon.com Inc.,1
abc7news.com,CSC CORPORATE DOMAINS INC.,KGO Television Inc.; Domain Administrator,KGO Television Inc.,US,Yes,22.99,27.62,4.64,1.29,Yes,Yes,Yes,No,AWSDNS,No,8,Yes,Yes,Amazon,US,1.08,No,8,No,No,AS16509,US,Amazon.com Inc.,1
abcnews.com.co,BigRock Solutions Ltd.,REDACTED FOR PRIVACY,N/A,IN,Yes,3.73,6,2.27,0.43,Yes,Yes,No,No,ns,No,11,No,No,,,0,,0,,Yes,,,,0
abcnews.go.com,CSC CORPORATE DOMAINS INC.,Disney Enterprises Inc.; Domain Administrator,Disney Enterprises Inc.,US,Yes,23.74,24.01,0.27,0.64,Yes,Yes,No,No,TWDCNS,No,10,Yes,Yes,Amazon,US,1.08,No,3,No,No,AS16509,US,Amazon.com Inc.,1
abcnews4.com,GoDaddy.com LLC,,Sinclair Broadcast Group Inc.,US,No,19.35,20.01,0.66,0.41,Yes,Yes,Yes,No,AWSDNS,No,8,Yes,Yes,Amazon,US,1.08,No,2,No,No,AS16509,US,Amazon.com Inc.,1
abqjournal.com,Network Solutions LLC,Albuquerque Journal,Albuquerque Journal,US,No,25.68,26.02,0.34,0.1,Yes,No,No,No,SWCP,No,10,Yes,Yes,Entrust Certification Authority - L1K,US,2.04,No,4,Yes,No,AS15164,US,Unite Private Networks LLC.,1
activistpost.com,GoDaddy.com LLC,Registration Private,Domains By Proxy LLC,US,Yes,11.45,13.01,1.56,0.51,Yes,No,No,No,NS,No,12,Yes,Yes,Cloudflare Inc ECC CA-3,US,1,No,3,Yes,No,AS13335,US,Cloudflare Inc.,0
actualidadpanamericana.com,GoDaddy.com LLC,Registration Private,Domains By Proxy LLC,US,Yes,7.74,8.01,0.26,0.73,Yes,No,No,No,DOMAINCONTROL,No,22,Yes,Yes,Go Daddy Secure Certificate Authority - G2,US,2,No,2,No,No,AS398101,US,GoDaddy.com LLC,0
addictinginfo.org,ENOM INC.,REDACTED FOR PRIVACY,Domains.com Ltd,GB,Yes,11.08,16.01,4.93,4.56,Yes,No,No,No,NS,No,13,Yes,Yes,Cloudflare Inc ECC CA-3,US,1,No,3,Yes,No,AS13335,US,Cloudflare Inc.,0
